accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
GCA_003297045,1563116,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium,Cladocopium sp. clade C,Symbiodinium sp. clade C Y103
GCA_002909645,255361,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Monilinia polystroma,
GCA_015708375,36610,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Cydonia,Cydonia oblonga,
GCA_006547085,106549,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus baccata,
GCF_002114115,3750,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus domestica,
GCA_020795835,106567,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sieversii,
GCA_916048215,3752,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Malus,Malus sylvestris,
GCA_007844245,436086,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus betulifolia,
GCA_016587475,3767,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus pyrifolia,
GCA_008932095,2448454,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus ussuriensis x Pyrus communis,
GCF_000315295,225117,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus x bretschneideri,
GCA_902860255,75948,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca saligna,
GCF_002870075,4236,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa,
GCA_002081595,1202772,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Achlya,Achlya hypogyna,
GCA_905220665,65357,Eukaryota,Oomycota,,Albuginales,Albuginaceae,Albugo,Albugo candida,
GCA_902706625,653948,Eukaryota,Oomycota,,Albuginales,Albuginaceae,Albugo,Albugo laibachii,
GCF_000520075,112090,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces astaci,
GCA_019828595,112091,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces cochlioides,
GCA_021527685,100861,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces euteiches,
GCF_000520115,157072,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces invadans,
GCA_009835185,120398,Eukaryota,Oomycota,,Saprolegniales,Saprolegniaceae,Aphanomyces,Aphanomyces stellatus,
GCA_014885115,33640,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis,
GCA_004332575,2172886,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium acetophilum,
GCA_003116975,2010233,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium sp. KH105,
GCA_001462505,1749249,Eukaryota,,Bigyra,Thraustochytrida,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium sp. T66,
GCF_000186865,44056,Eukaryota,,Pelagophyceae,Pelagomonadales,,Aureococcus,Aureococcus anophagefferens,
GCF_000151665,12968,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis hominis,
GCA_001651215,478820,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 1,Blastocystis sp. ATCC 50177/Nand II
GCA_000963365,944160,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 2,
GCA_000963385,944168,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 3,
GCF_000743755,944170,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 4,
GCA_000963415,944208,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 6,
GCA_000963455,429571,Eukaryota,,Bigyra,Opalinata,Blastocystidae,Blastocystis,Blastocystis sp. subtype 8,
GCA_014633975,367763,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora acuminata,
GCA_014634005,1929007,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora awi,
GCA_014634045,46686,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora cytherea,
GCF_000222465,70779,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora digitifera,
GCA_014634105,513064,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora echinata,
GCA_014634605,70782,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora florida,
GCA_014634125,70780,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora gemmifera,
GCA_020536085,55974,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora hyacinthus,
GCA_014634585,114500,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora intermedia,
GCA_014634165,156436,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora microphthalma,
GCF_013753865,45264,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora millepora,
GCA_014634545,159855,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora muricata,
GCA_014634205,70778,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora nasuta,
GCA_014634525,165727,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora selago,
GCA_014633955,70783,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora tenuis,
GCA_014634225,117778,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,Acropora yongei,
GCA_011057435,6106,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina,
GCF_009602425,6105,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia tenebrosa,
GCA_900234385,51769,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anemonia,Anemonia viridis,
GCA_016068315,160748,Eukaryota,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,Anthopleura sola,
GCF_000600275,1388766,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,Aspergillus ruber CBS 135680
GCF_001531365,59895,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,Cynara cardunculus,Cynara cardunculus subsp. cardunculus
GCA_001541825,92921,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Silybum,Silybum marianum,
GCA_003999395,6396,Eukaryota,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,Eisenia fetida,
